지점,지점명,일시,평균기온(°C)
108,서울,1975-07,24.9
108,서울,1975-08,27
108,서울,1975-09,22.6
108,서울,1975-10,15.4
108,서울,1975-11,9
108,서울,1975-12,-1.6
108,서울,1976-01,-3.8
108,서울,1976-02,2.8
108,서울,1976-03,4.8
108,서울,1976-04,11.3
108,서울,1976-05,16.7
108,서울,1976-06,21.3
108,서울,1976-07,23.1
108,서울,1976-08,23.7
108,서울,1976-09,19.9
108,서울,1976-10,13.7
108,서울,1976-11,3.5
108,서울,1976-12,.4
108,서울,1977-01,-6.7
108,서울,1977-02,-2.4
108,서울,1977-03,5.4
108,서울,1977-04,12.5
108,서울,1977-05,17.4
108,서울,1977-06,22.5
108,서울,1977-07,26
108,서울,1977-08,24.6
108,서울,1977-09,21.5
108,서울,1977-10,16.7
108,서울,1977-11,7.6
108,서울,1977-12,2.4
108,서울,1978-01,-2.4
108,서울,1978-02,-2.5
108,서울,1978-03,4.2
108,서울,1978-04,11.5
108,서울,1978-05,18.5
108,서울,1978-06,21.9
108,서울,1978-07,26.4
108,서울,1978-08,25.8
108,서울,1978-09,20.9
108,서울,1978-10,14.5
108,서울,1978-11,7.9
108,서울,1978-12,1.6
108,서울,1979-01,.9
108,서울,1979-02,.6
108,서울,1979-03,6
108,서울,1979-04,11.2
108,서울,1979-05,16.5
108,서울,1979-06,21.4
108,서울,1979-07,24.3
108,서울,1979-08,25.4
108,서울,1979-09,20.1
108,서울,1979-10,15.9
108,서울,1979-11,5.7
108,서울,1979-12,1.4
108,서울,1980-01,-3.7
108,서울,1980-02,-3.1
108,서울,1980-03,5.2
108,서울,1980-04,10.1
108,서울,1980-05,16.5
108,서울,1980-06,21.6
108,서울,1980-07,22.7
108,서울,1980-08,22.8
108,서울,1980-09,19.6
108,서울,1980-10,13
108,서울,1980-11,8.6
108,서울,1980-12,-3.8
108,서울,1981-01,-7
108,서울,1981-02,-1.4
108,서울,1981-03,5.7
108,서울,1981-04,11.9
108,서울,1981-05,15.9
108,서울,1981-06,21.8
108,서울,1981-07,25.4
108,서울,1981-08,24.5
108,서울,1981-09,20
108,서울,1981-10,13.4
108,서울,1981-11,3.6
108,서울,1981-12,.1
108,서울,1982-01,-3.5
108,서울,1982-02,.6
108,서울,1982-03,5.9
108,서울,1982-04,12.3
108,서울,1982-05,17.9
108,서울,1982-06,21.9
108,서울,1982-07,25.1
108,서울,1982-08,25.4
108,서울,1982-09,20.8
108,서울,1982-10,15.8
108,서울,1982-11,7.9
108,서울,1982-12,-.1
108,서울,1983-01,-1.7
108,서울,1983-02,-1.7
108,서울,1983-03,6.4
108,서울,1983-04,13.6
108,서울,1983-05,18.5
108,서울,1983-06,22.2
108,서울,1983-07,23.6
108,서울,1983-08,26
108,서울,1983-09,22
108,서울,1983-10,14.2
108,서울,1983-11,6.7
108,서울,1983-12,-1.1
108,서울,1984-01,-5.9
108,서울,1984-02,-3.5
108,서울,1984-03,2.5
108,서울,1984-04,12.1
108,서울,1984-05,18.2
108,서울,1984-06,22.6
108,서울,1984-07,25.2
108,서울,1984-08,26.3
108,서울,1984-09,20.1
108,서울,1984-10,13.8
108,서울,1984-11,8.1
108,서울,1984-12,-.9
108,서울,1985-01,-5.9
108,서울,1985-02,-.3
108,서울,1985-03,4.3
108,서울,1985-04,11.6
108,서울,1985-05,18.1
108,서울,1985-06,22.1
108,서울,1985-07,25.3
108,서울,1985-08,26.3
108,서울,1985-09,20.2
108,서울,1985-10,14.7
108,서울,1985-11,5.6
108,서울,1985-12,-3.4
108,서울,1986-01,-5.4
108,서울,1986-02,-3.3
108,서울,1986-03,4.9
108,서울,1986-04,11.9
108,서울,1986-05,17.1
108,서울,1986-06,21.9
108,서울,1986-07,23.5
108,서울,1986-08,24.5
108,서울,1986-09,19.9
108,서울,1986-10,12.7
108,서울,1986-11,5.2
108,서울,1986-12,1.9
108,서울,1987-01,-3
108,서울,1987-02,-.1
108,서울,1987-03,4
108,서울,1987-04,10.8
108,서울,1987-05,17
108,서울,1987-06,22.4
108,서울,1987-07,23.7
108,서울,1987-08,24.4
108,서울,1987-09,20.1
108,서울,1987-10,15.5
108,서울,1987-11,7.5
108,서울,1987-12,.9
108,서울,1988-01,-2.1
108,서울,1988-02,-1.5
108,서울,1988-03,4.3
108,서울,1988-04,11.3
108,서울,1988-05,17.9
108,서울,1988-06,22.3
108,서울,1988-07,24.4
108,서울,1988-08,26.4
108,서울,1988-09,21.4
108,서울,1988-10,15
108,서울,1988-11,5.5
108,서울,1988-12,.1
108,서울,1989-01,.8
108,서울,1989-02,2.4
108,서울,1989-03,6.1
108,서울,1989-04,14.3
108,서울,1989-05,17.9
108,서울,1989-06,21.2
108,서울,1989-07,24.5
108,서울,1989-08,25.5
108,서울,1989-09,20.7
108,서울,1989-10,13.6
108,서울,1989-11,7.1
108,서울,1989-12,1.4
108,서울,1990-01,-3.2
108,서울,1990-02,2.7
108,서울,1990-03,7.2
108,서울,1990-04,11.3
108,서울,1990-05,16.2
108,서울,1990-06,20.7
108,서울,1990-07,24.9
108,서울,1990-08,26.4
108,서울,1990-09,21.1
108,서울,1990-10,15.4
108,서울,1990-11,10
108,서울,1990-12,.8
108,서울,1991-01,-2.6
108,서울,1991-02,-.9
108,서울,1991-03,4.9
108,서울,1991-04,13
108,서울,1991-05,17.5
108,서울,1991-06,22.6
108,서울,1991-07,24.3
108,서울,1991-08,25.5
108,서울,1991-09,21.1
108,서울,1991-10,13.8
108,서울,1991-11,6.5
108,서울,1991-12,2.2
108,서울,1992-01,-.2
108,서울,1992-02,.7
108,서울,1992-03,7.6
108,서울,1992-04,12
108,서울,1992-05,16.4
108,서울,1992-06,20.9
108,서울,1992-07,24.8
108,서울,1992-08,24.8
108,서울,1992-09,20.9
108,서울,1992-10,14
108,서울,1992-11,6.2
108,서울,1992-12,1.5
108,서울,1993-01,-1.9
108,서울,1993-02,1
108,서울,1993-03,5.8
108,서울,1993-04,10.6
108,서울,1993-05,18.2
108,서울,1993-06,21.3
108,서울,1993-07,23.3
108,서울,1993-08,23.2
108,서울,1993-09,21.2
108,서울,1993-10,13.4
108,서울,1993-11,8.5
108,서울,1993-12,-.2
